temperature,date,mois,wind_dire,wind_speed,id
22,"2018-05-12 17:00:00",48,从西南偏南方向吹来的风,2,1
20,"2018-05-12 20:00:00",53,从东南偏南方向吹来的风,2,2
23,"2018-05-12 11:00:00",41,从西方吹来的风,4,3
16,"2018-05-13 05:00:00",82,从西南偏西方向吹来的风,4,4
18,"2018-05-13 02:00:00",70,从东南方吹来的风,3,5
22,"2018-05-12 14:00:00",46,从西方吹来的风,3,6
17,"2018-05-12 23:00:00",72,从东南偏南方向吹来的风,1,7
15,"2018-05-13 08:00:00",86,从西南方吹来的风,1,8
18,"2018-05-11 23:00:00",59,从东方吹来的风,1,9
17,"2018-05-12 05:00:00",72,从西南方吹来的风,2,10
19,"2018-05-12 08:00:00",65,从西南偏南方向吹来的风,2,11
26,"2018-05-11 14:00:00",30,从西南偏西方向吹来的风,4,12
18,"2018-05-12 02:00:00",56,从西南方吹来的风,2,13
23,"2018-05-11 11:00:00",38,从西南偏南方向吹来的风,5,14
26,"2018-05-11 17:00:00",31,从南方吹来的风,4,15
23,"2018-05-11 20:00:00",35,从西南偏南方向吹来的风,4,16
17,"2018-05-11 08:00:00",64,从西南偏西方向吹来的风,2,17
16,"2018-05-11 05:00:00",68,从西南偏西方向吹来的风,2,18
21,"2018-05-10 23:00:00",44,从西南偏南方向吹来的风,3,19
24,"2018-05-10 20:00:00",37,从西南偏南方向吹来的风,4,20
17,"2018-05-11 02:00:00",62,从西南偏西方向吹来的风,2,21
28,"2018-05-10 17:00:00",31,从西南方吹来的风,4,22
26,"2018-05-10 14:00:00",39,从西南方吹来的风,4,23
23,"2018-05-10 11:00:00",47,从西南方吹来的风,6,24
17,"2018-05-10 08:00:00",77,从西南偏南方向吹来的风,1,25
15,"2018-05-10 05:00:00",81,从西北偏西方向吹来的风,1,26
16,"2018-05-10 02:00:00",78,从西南方吹来的风,1,27
23,"2018-05-09 20:00:00",44,从西南偏南方向吹来的风,3,28
18,"2018-05-09 23:00:00",67,从西南偏西方向吹来的风,2,29
25,"2018-05-09 17:00:00",43,从东南方吹来的风,4,30
23,"2018-05-09 14:00:00",46,从西南偏南方向吹来的风,3,31
